20,동화약품 ,14350,-550,-3.69,1033,13.89,11860,1.21,"180
"
2700,신일전자 ,1955,-15,-0.76,115,17,1059,1.85,"20
"
4690,삼천리 ,92600,400,0.43,9248,10.01,317378,0.29,"3000
"
6740,영풍제지 ,6890,50,0.73,483,14.27,5692,1.21,"40
"
9180,한솔로지스틱스 ,4830,-65,-1.33,316,15.28,1989,2.43,"50
"
10050,우리종금 ,991,-14,-1.39,89,11.13,605,1.64,"10
"
19010,베뉴지 ,2185,-35,-1.58,216,10.12,5453,0.4,"30
"
24090,디씨엠 ,23350,150,0.65,2166,10.78,16153,1.45,"500
"
25530,SJM홀딩스 ,3585,-50,-1.38,221,16.22,9852,0.36,"100
"
33290,코웰패션 ,8740,-200,-2.24,697,12.54,3233,2.7,"120
"
39830,오로라 ,10450,-200,-1.88,781,13.38,10226,1.02,"100
"
42500,링네트 ,6590,0,0,598,11.02,4476,1.47,"0
"
49720,고려신용정보 ,9710,-90,-0.92,740,13.12,2041,4.76,"275
"
53620,태양 ,9090,-10,-0.11,881,10.32,19081,0.48,"150
"
53690,한미글로벌 ,11150,50,0.45,974,11.45,10889,1.02,"300
"
56360,코위버 ,7650,-60,-0.78,599,12.77,12442,0.61,"80
"
65710,서호전기 ,20400,-300,-1.45,1319,15.47,14273,1.43,"1000
"
67920,이글루시큐리티 ,7260,-40,-0.55,526,13.8,4533,1.6,"160
"
71460,위니아딤채 ,3720,10,0.27,348,10.69,2186,1.7,"0
"
81660,휠라홀딩스 ,38450,150,0.39,2306,16.67,21274,1.81,"185
"
90350,노루페인트 ,11750,250,2.17,879,13.37,16315,0.72,"275
"
92730,네오팜 ,25800,-200,-0.77,2318,11.13,14343,1.8,"650
"
93320,케이아이엔엑스 ,57200,3700,6.92,3156,18.12,22393,2.55,"500
"
103140,풍산 ,32500,200,0.62,2567,12.66,51539,0.63,"600
"
104830,원익머트리얼즈 ,31950,-250,-0.78,2628,12.16,26857,1.19,"200
"
119860,다나와 ,29200,1400,5.04,2387,12.23,10461,2.79,"600
"
122450,KMH ,8480,70,0.83,718,11.81,5865,1.45,"0
"
126640,화신정공 ,2115,-40,-1.86,138,15.33,2357,0.9,"30
"
192080,더블유게임즈 ,69400,2700,4.05,6634,10.46,36923,1.88,"350
"
